"Rubrics","Title","Date","Views","Comments","Links"
"Происшествия","Дым клубом: в Новосибирске произошел пожар на производстве мебели — видео","11 марта 2025, 11:55","312","2","https://ngs.ru/text/incidents/2025/03/11/75205913/"
"Происшествия","Горят дома и машины, люди эвакуируются: кадры из Подмосковья, которое атаковали десятки БПЛА","11 марта 2025, 11:47","2 661","15","https://ngs.ru/text/incidents/2025/03/11/75205865/"
"Здоровье","Только через терапевта: новосибирцы не могут записаться к некоторым врачам напрямую — объяснение Минздрава","11 марта 2025, 11:39","1 150","14","https://ngs.ru/text/health/2025/03/11/75205868/"
"Политика","«Остался бы комбайнером, умер бы счастливым»: 40 лет назад к власти пришел Горбачев — заслуженно ли его ругают?","11 марта 2025, 11:30","739","35","https://ngs.ru/text/politics/2025/03/11/75205244/"
"Животные","«Природа очистилась»: в новосибирский двор прибежал пухлый заяц — видео","11 марта 2025, 11:29","1 322","6","https://ngs.ru/text/animals/2025/03/11/75205778/"
"Работа","В Новосибирске прокуратура проверит мебельный цех, где работникам не выплачивают зарплату","11 марта 2025, 11:05","876","8","https://ngs.ru/text/job/2025/03/11/75205799/"
"Образование","ЕГЭ под угрозой: на всероссийской олимпиаде школьников произошла утечка заданий. Как с этим бороться?","11 марта 2025, 11:00","922","10","https://ngs.ru/text/education/2025/03/11/75204479/"
"Происшествия","Один человек погиб, есть раненые. Массовая атака беспилотников на Москву и Подмосковье — онлайн","11 марта 2025, 10:53","883","Обсудить","https://ngs.ru/text/incidents/2025/03/11/75205835/"
"Происшествия","«Отец забыл привязать таксу»: названы подробности гибели младенца в Северске","11 марта 2025, 10:45","4 405","48","https://ngs.ru/text/incidents/2025/03/11/75205826/"
"Наука","Над Новосибирском пройдет мартовское полнолуние — почему его называют «кровавым»","11 марта 2025, 10:30","1 447","5","https://ngs.ru/text/science/2025/03/11/75205796/"
"Животные","В Новосибирске продают щенка за 330 тысяч рублей — его доставят из Китая","11 марта 2025, 10:10","2 055","16","https://ngs.ru/text/animals/2025/03/11/75192515/"
"Авто","Водитель обгонял пробку по встречке и улетел в кювет — смотрите видео о том, как так вышло","11 марта 2025, 10:09","3 271","10","https://ngs.ru/text/auto/2025/03/11/75202178/"
"Авто","«Жига» за 6 миллионов: в Новосибирске детально восстанавливают культовые советские автомобили — они стоят дороже новых иномарок","11 марта 2025, 10:00","3 359","37","https://ngs.ru/text/auto/2025/03/11/75178835/"
"Происшествия","После массовой атаки беспилотников на Москву в пригороде вспыхнули две многоэтажки — кадры","11 марта 2025, 09:54","14 475","79","https://ngs.ru/text/incidents/2025/03/11/75205775/"
"Здоровье","Красавица-хирург спасает уши и носы новосибирцев, растит сына и руководит отделением — вдохновляющая история","11 марта 2025, 09:45","2 962","13","https://ngs.ru/text/health/2025/03/11/75201302/"
"Происшествия","Беспилотники массово атаковали Россию — больше 50 из них летели на Москву","11 марта 2025, 09:03","24 115","120","https://ngs.ru/text/incidents/2025/03/11/75205745/"
"Экономика","Даже хлеб и молоко привязаны к доллару. Экономисты — о том, на что должны упасть цены в первую очередь","11 марта 2025, 09:00","1 640","44","https://ngs.ru/text/economics/2025/03/11/75204125/"
"Развлечения","«Кто-то красится, кто-то молится»: сибирячка побывала на вручении «российской Грэмми» — она рассказала, что творилось за кулисами","11 марта 2025, 09:00","1 986","10","https://ngs.ru/text/entertainment/2025/03/11/75202799/"
"Авто","Объем сократился на 40%: в Новосибирске стало продаваться меньше машин — статистика","11 марта 2025, 08:46","2 412","44","https://ngs.ru/text/auto/2025/03/11/75205736/"
"Работа","«Работать некому — все поувольнялись»: с мебельного производства в Новосибирске бегут рабочие — им должны больше миллиона","11 марта 2025, 08:30","7 197","48","https://ngs.ru/text/job/2025/03/11/75192437/"
"Весна","От -26 до +9 градусов: новосибирские синоптики дали прогноз на вторую декаду марта","11 марта 2025, 08:20","4 074","8","https://ngs.ru/text/spring/2025/03/11/75202370/"
"Работа","Большинство предвзяты: новосибирцы не любят вакансии без указания зарплаты — результаты опроса","11 марта 2025, 07:57","1 595","17","https://ngs.ru/text/job/2025/03/11/75205724/"
"Экономика","В Новосибирске подорожали сосиски и сардельки — инфографика с ценами","11 марта 2025, 07:20","2 253","48","https://ngs.ru/text/economics/2025/03/11/75201341/"
"Бизнес","Миллионы на Большого брата: кто зарабатывает на дорожных камерах в Новосибирске — в списке участник коррупционного скандала","11 марта 2025, 07:00","6 354","33","https://ngs.ru/text/business/2025/03/11/75177920/"
"Недвижимость","Бывший роскошный дом вора в законе Шамаза продают в Кузбассе: смотрим, как жил криминальный авторитет","11 марта 2025, 05:00","9 451","110","https://ngs.ru/text/realty/2025/03/11/75203654/"
"Весна","Отдых в Алтайском крае весной 2025: куда поехать недорого и какие места посмотреть","11 марта 2025, 03:30","2 800","22","https://ngs.ru/text/spring/2025/03/11/75203648/"
"Происшествия","ВСУ ударили по ТЦ в Курской области. Погибли люди","11 марта 2025, 02:51","5 906","55","https://ngs.ru/text/incidents/2025/03/11/75205544/"
"Происшествия","Снег с крыши дома вновь раздавил авто в Шерегеше — что отвечает УК на второй инцидент за два месяца","11 марта 2025, 02:00","3 219","9","https://ngs.ru/text/incidents/2025/03/11/75203651/"
"Происшествия","Нефтяной танкер потерпел крушение и загорелся в Северном море: новости 10 марта","11 марта 2025, 00:37","4 760","16","https://ngs.ru/text/incidents/2025/03/11/75203765/"
"Происшествия","Волна холода и смертельное ДТП с грузовиками: главные события Новосибирска 10 марта","11 марта 2025, 00:08","1 853","Обсудить","https://ngs.ru/text/incidents/2025/03/11/75205187/"
"Недвижимость","Ключи к успеху: почему предприниматели покупают офисы в деловом квартале в центре Новосибирска","11 марта 2025, 00:00","1 372","","https://ngs.ru/text/realty/2025/03/11/75191600/?erid=2SDnjf16sZv"
"Криминал","Как Саша Митрошина стала популярным блогером и на чем она заработала свои миллионы — видео","10 марта 2025, 23:44","3 097","13","https://ngs.ru/text/criminal/2025/03/10/75205457/"
"Происшествия","«Такими методами бороться нельзя»: Екатерина Мизулина заинтересовалась нападением подростков на девочку в Новосибирске","10 марта 2025, 22:56","3 143","76","https://ngs.ru/text/incidents/2025/03/10/75204668/"
"Происшествия","Тело девочки нашла мать: домашняя такса искусала спящего младенца в Сибири","10 марта 2025, 21:50","13 247","168","https://ngs.ru/text/incidents/2025/03/10/75203996/"
"Недвижимость","Банный комплекс из 200-летнего кедра: под Новосибирском продают роскошную резиденцию почти за 80 миллионов — смотрим фото","10 марта 2025, 21:10","7 879","67","https://ngs.ru/text/realty/2025/03/10/75203843/"
"Криминал","Забил молотком целую семью: на Урале нашли жестокого убийцу из 90-х — видео","10 марта 2025, 20:30","4 188","12","https://ngs.ru/text/criminal/2025/03/10/75202667/"
"Происшествия","«Пришлось вызвать ГБР»: в крупном торговом центре Новосибирска задержали мужчину — видео","10 марта 2025, 19:40","10 013","31","https://ngs.ru/text/incidents/2025/03/10/75203555/"
"Страна и мир","Платные дороги, вкусная еда, шопинг и бескрайние просторы: турист проехал всю Монголию на авто","10 марта 2025, 19:00","3 840","33","https://ngs.ru/text/world/2025/03/10/75190580/"
"Дороги и транспорт","По привычке едут в два ряда: что творится на Советской, где ввели двустороннее движение машин — фото с аварией и пробками","10 марта 2025, 18:55","10 296","103","https://ngs.ru/text/transport/2025/03/10/75203192/"
"Криминал","Заплатила 666 млн руб. налогов. Блогера Сашу Митрошину отправили под домашний арест на 1,5 месяца","10 марта 2025, 17:37","5 625","68","https://ngs.ru/text/criminal/2025/03/10/75203054/"
